Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2019,Ransomware,Government,15.62,230708,Unknown,Zero-day,Firewall,13
China,2021,DDoS,Banking,5.27,160660,Insider,Social Engineering,Firewall,8
France,2024,Phishing,Government,2.59,15869,Unknown,Social Engineering,Firewall,17
France,2016,Phishing,Banking,22.64,406782,Nation-state,Social Engineering,VPN,44
Germany,2015,Phishing,Telecommunications,5.36,37015,Unknown,Social Engineering,AI-based Detection,2
China,2019,Malware,IT,6.18,98944,Unknown,Social Engineering,Antivirus,3
Russia,2016,Man-in-the-Middle,Education,4.44,194665,Hacker Group,Zero-day,VPN,11
Australia,2021,Malware,Retail,11.69,417128,Unknown,Unpatched Software,Firewall,21
China,2018,Ransomware,Banking,2.71,137713,Hacker Group,Zero-day,Encryption,4
Australia,2023,Ransomware,IT,83.81,906583,Insider,Unpatched Software,AI-based Detection,57
USA,2021,DDoS,Government,18.18,445247,Unknown,Social Engineering,AI-based Detection,22
China,2016,Man-in-the-Middle,Government,9.95,21898,Unknown,Unpatched Software,Encryption,20
India,2020,Man-in-the-Middle,Healthcare,7.81,277078,Nation-state,Social Engineering,Encryption,24
USA,2022,DDoS,IT,19.53,527970,Unknown,Social Engineering,VPN,13
Brazil,2024,Phishing,Banking,2.61,142966,Nation-state,Weak Passwords,Firewall,2
Brazil,2015,Phishing,Healthcare,11.26,236242,Hacker Group,Social Engineering,Firewall,38
China,2017,Ransomware,Banking,6.27,14901,Nation-state,Weak Passwords,AI-based Detection,6
China,2024,Man-in-the-Middle,Education,12.52,591304,Hacker Group,Social Engineering,Antivirus,21
Brazil,2024,Phishing,Telecommunications,15.66,590456,Nation-state,Social Engineering,VPN,38
India,2022,Ransomware,Telecommunications,8.22,146852,Nation-state,Social Engineering,Encryption,5
Germany,2020,SQL Injection,Telecommunications,13.33,290630,Hacker Group,Unpatched Software,Firewall,43
Germany,2024,Man-in-the-Middle,IT,12.89,430261,Hacker Group,Social Engineering,Encryption,37
Germany,2021,Malware,Retail,22.05,408670,Insider,Weak Passwords,Encryption,30
China,2022,Ransomware,Retail,25.83,334109,Nation-state,Social Engineering,Encryption,22
France,2015,Man-in-the-Middle,Banking,6.78,35380,Hacker Group,Social Engineering,Encryption,23
Australia,2017,Ransomware,Retail,3.4,271273,Hacker Group,Zero-day,Antivirus,13
Germany,2021,SQL Injection,IT,45.27,562871,Nation-state,Social Engineering,VPN,50
China,2019,Man-in-the-Middle,Banking,4.06,190635,Hacker Group,Unpatched Software,Antivirus,8
China,2021,Ransomware,Banking,1.69,187736,Unknown,Zero-day,VPN,19
Australia,2022,Phishing,Education,12.04,309625,Hacker Group,Unpatched Software,VPN,16
Germany,2021,DDoS,Government,13.16,405169,Nation-state,Weak Passwords,Firewall,22
Germany,2022,SQL Injection,Retail,2.21,84494,Nation-state,Social Engineering,VPN,2
Russia,2019,DDoS,Government,17.07,502449,Hacker Group,Social Engineering,AI-based Detection,16
China,2019,Man-in-the-Middle,Healthcare,9.16,109783,Hacker Group,Zero-day,Encryption,16
Japan,2015,Phishing,Banking,52.03,784533,Insider,Social Engineering,Firewall,59
Japan,2016,SQL Injection,Healthcare,35.31,773659,Unknown,Social Engineering,VPN,70
Russia,2021,DDoS,Government,7.34,186986,Unknown,Social Engineering,Firewall,14
China,2024,Ransomware,IT,13.82,374896,Insider,Social Engineering,Firewall,42
China,2024,Phishing,Telecommunications,2.7,142093,Hacker Group,Zero-day,Firewall,19
France,2024,Man-in-the-Middle,Banking,7.49,101320,Nation-state,Unpatched Software,AI-based Detection,10
Japan,2019,Man-in-the-Middle,Banking,21.98,309954,Unknown,Unpatched Software,Firewall,16
France,2023,Phishing,Healthcare,11.98,301317,Nation-state,Weak Passwords,Encryption,37
Brazil,2018,Malware,Retail,1.25,282226,Unknown,Zero-day,Encryption,11
Australia,2017,Phishing,Telecommunications,3.29,171178,Hacker Group,Zero-day,Firewall,18
Germany,2023,DDoS,Banking,7.08,17801,Nation-state,Unpatched Software,Encryption,18
France,2021,Malware,Telecommunications,23.68,569337,Nation-state,Weak Passwords,Encryption,25
UK,2019,Malware,Banking,5.59,173020,Nation-state,Zero-day,Encryption,19
Germany,2018,Man-in-the-Middle,Retail,19.39,532780,Nation-state,Unpatched Software,AI-based Detection,13
France,2015,Ransomware,IT,4.21,78653,Insider,Social Engineering,Encryption,12
Germany,2016,Malware,IT,8.81,141940,Unknown,Social Engineering,Antivirus,16
China,2024,SQL Injection,IT,4.14,258492,Hacker Group,Zero-day,Encryption,18
UK,2015,Malware,IT,18.47,342827,Hacker Group,Unpatched Software,Firewall,46
China,2019,Phishing,Healthcare,85.56,547620,Hacker Group,Unpatched Software,VPN,41
France,2020,Malware,Banking,67.28,826368,Insider,Social Engineering,Firewall,61
Germany,2021,Malware,Healthcare,18.14,376039,Nation-state,Social Engineering,Antivirus,13
France,2017,Phishing,Retail,51.72,522135,Hacker Group,Unpatched Software,AI-based Detection,68
China,2017,Phishing,Telecommunications,39.91,817565,Hacker Group,Social Engineering,Encryption,54
Germany,2016,DDoS,IT,3.89,117411,Insider,Unpatched Software,Encryption,3
India,2022,Ransomware,Banking,5.38,198762,Hacker Group,Unpatched Software,AI-based Detection,8
Japan,2022,DDoS,IT,23.13,402760,Hacker Group,Unpatched Software,Antivirus,22
USA,2022,Ransomware,Government,17.09,507597,Nation-state,Social Engineering,VPN,45
Japan,2024,DDoS,Banking,17.82,537426,Hacker Group,Unpatched Software,Firewall,30
UK,2017,Malware,Telecommunications,7.67,164266,Hacker Group,Zero-day,VPN,2
Brazil,2023,DDoS,Education,5.51,252654,Insider,Zero-day,Firewall,8
Japan,2015,Phishing,Telecommunications,18.55,323489,Unknown,Unpatched Software,VPN,48
China,2022,Ransomware,Retail,4.91,29401,Insider,Weak Passwords,Encryption,1
Australia,2018,Phishing,Banking,13.4,381288,Hacker Group,Social Engineering,Firewall,34
UK,2022,Malware,Banking,15.1,204745,Unknown,Social Engineering,Antivirus,20
Australia,2021,Ransomware,IT,12.43,345799,Unknown,Unpatched Software,VPN,44
Russia,2020,SQL Injection,Healthcare,12.26,519438,Hacker Group,Zero-day,Encryption,14
China,2018,Malware,Banking,11.78,218199,Nation-state,Social Engineering,Firewall,34
USA,2020,Phishing,IT,18.74,388674,Hacker Group,Zero-day,Encryption,46
Japan,2024,SQL Injection,IT,37.3,889147,Nation-state,Zero-day,Encryption,67
USA,2023,Ransomware,Education,14.49,388320,Hacker Group,Social Engineering,VPN,43
China,2022,Phishing,Telecommunications,6.68,154446,Insider,Unpatched Software,Firewall,11
USA,2016,Malware,IT,24.42,577953,Insider,Social Engineering,Firewall,19
Australia,2015,Phishing,Education,38.07,700784,Hacker Group,Unpatched Software,VPN,60
Germany,2019,DDoS,IT,14.55,212328,Nation-state,Social Engineering,Encryption,18
Australia,2019,Malware,Government,34.83,628517,Nation-state,Unpatched Software,Encryption,64
Australia,2016,Phishing,IT,7.91,152820,Nation-state,Zero-day,Encryption,8
USA,2023,Phishing,Education,14.58,565993,Hacker Group,Social Engineering,Firewall,16
China,2016,Man-in-the-Middle,IT,11.31,293577,Insider,Unpatched Software,VPN,29
India,2021,Phishing,Banking,4.13,206894,Unknown,Unpatched Software,Encryption,20
Germany,2022,SQL Injection,IT,23.57,362768,Unknown,Weak Passwords,VPN,39
France,2022,Man-in-the-Middle,Telecommunications,3.31,175431,Hacker Group,Weak Passwords,Firewall,22
France,2019,DDoS,Banking,94.68,651926,Insider,Unpatched Software,Firewall,67
Brazil,2018,Phishing,Banking,43.5,544237,Hacker Group,Unpatched Software,Firewall,40
Japan,2022,DDoS,Telecommunications,8.92,130152,Unknown,Weak Passwords,Firewall,12
Germany,2015,Phishing,Government,92.25,756898,Hacker Group,Unpatched Software,Firewall,51
Brazil,2023,Ransomware,Education,7.63,71545,Nation-state,Weak Passwords,VPN,14
Brazil,2017,Phishing,Retail,19.15,443451,Unknown,Zero-day,Firewall,44
Germany,2018,SQL Injection,IT,1.13,104825,Hacker Group,Unpatched Software,Antivirus,14
Germany,2021,DDoS,IT,7.5,274609,Nation-state,Unpatched Software,AI-based Detection,5
Germany,2022,Phishing,Government,17.3,367413,Nation-state,Zero-day,VPN,20
USA,2022,SQL Injection,Healthcare,9.79,188230,Insider,Social Engineering,Encryption,17
Brazil,2018,Phishing,Banking,39.83,784040,Insider,Social Engineering,Antivirus,61
Australia,2018,SQL Injection,Healthcare,13.31,204821,Hacker Group,Social Engineering,VPN,39
Brazil,2024,Phishing,IT,14.13,210234,Nation-state,Zero-day,Firewall,45
Japan,2017,Phishing,Banking,19.58,338079,Hacker Group,Unpatched Software,Encryption,36
UK,2017,Phishing,Government,15.21,514483,Nation-state,Weak Passwords,AI-based Detection,38
China,2021,SQL Injection,Government,32.54,930312,Unknown,Social Engineering,Encryption,62
Australia,2022,DDoS,Retail,18.04,584194,Unknown,Social Engineering,AI-based Detection,16
Brazil,2023,Ransomware,IT,7.66,194870,Insider,Unpatched Software,Antivirus,10
Germany,2020,Ransomware,Retail,19.43,569435,Hacker Group,Unpatched Software,AI-based Detection,15
China,2015,DDoS,IT,4.35,276643,Insider,Unpatched Software,Antivirus,16
Japan,2021,Phishing,Retail,35.33,799919,Unknown,Weak Passwords,AI-based Detection,54
Australia,2024,DDoS,Banking,56.85,524164,Insider,Zero-day,Antivirus,42
China,2017,Ransomware,Government,8.26,97272,Insider,Unpatched Software,Encryption,4
USA,2023,Man-in-the-Middle,Government,19.63,436005,Unknown,Social Engineering,VPN,12
Brazil,2023,Phishing,Government,14.36,581169,Hacker Group,Unpatched Software,Firewall,33
Brazil,2022,Phishing,Education,8.75,52410,Hacker Group,Social Engineering,Firewall,1
India,2019,DDoS,Government,15.31,271606,Nation-state,Unpatched Software,Encryption,14
France,2019,Ransomware,Telecommunications,18.42,474057,Hacker Group,Weak Passwords,VPN,43
Australia,2017,Ransomware,IT,2.02,124379,Hacker Group,Unpatched Software,Encryption,2
Japan,2020,Man-in-the-Middle,Education,17.41,474610,Hacker Group,Zero-day,Firewall,45
China,2018,Phishing,Education,26.68,536169,Insider,Social Engineering,VPN,44
France,2018,Ransomware,Banking,1.46,164838,Insider,Social Engineering,Encryption,22
Brazil,2023,Malware,Retail,13.39,578346,Nation-state,Social Engineering,Antivirus,28
Russia,2020,Malware,Banking,30.4,653956,Insider,Weak Passwords,AI-based Detection,51
Germany,2015,Malware,Banking,51.32,617686,Unknown,Zero-day,Antivirus,38
France,2018,Phishing,IT,89.32,762546,Hacker Group,Social Engineering,Encryption,58
Australia,2024,Phishing,Telecommunications,4.93,193448,Nation-state,Social Engineering,VPN,12
UK,2021,DDoS,Banking,8.76,245855,Unknown,Social Engineering,Firewall,21
USA,2024,Ransomware,Banking,35.38,507483,Hacker Group,Unpatched Software,Firewall,33
Australia,2015,Malware,Banking,8.57,31275,Hacker Group,Weak Passwords,Encryption,10
Russia,2017,Malware,Banking,6.85,299111,Unknown,Weak Passwords,AI-based Detection,3
Russia,2022,Ransomware,Education,1.08,21680,Unknown,Unpatched Software,AI-based Detection,22
India,2022,SQL Injection,IT,2.93,85968,Nation-state,Weak Passwords,AI-based Detection,1
UK,2024,Ransomware,Telecommunications,9.53,236817,Hacker Group,Unpatched Software,VPN,10
UK,2018,DDoS,Retail,13.08,226406,Hacker Group,Social Engineering,VPN,16
India,2016,DDoS,Government,6.53,17328,Hacker Group,Unpatched Software,Firewall,11
India,2020,Phishing,Retail,37.44,606368,Hacker Group,Social Engineering,Firewall,32
Russia,2016,SQL Injection,Telecommunications,8.45,86518,Nation-state,Social Engineering,Firewall,8
Brazil,2019,Phishing,Healthcare,4.0,38471,Hacker Group,Social Engineering,VPN,21
India,2022,Phishing,Education,2.89,77098,Unknown,Unpatched Software,Antivirus,22
France,2021,SQL Injection,Telecommunications,3.09,35660,Unknown,Weak Passwords,AI-based Detection,22
China,2023,Phishing,IT,2.2,61413,Unknown,Zero-day,VPN,21
France,2020,Phishing,Retail,22.77,503256,Insider,Social Engineering,AI-based Detection,21
USA,2016,DDoS,Government,6.67,18141,Hacker Group,Social Engineering,Encryption,11
Germany,2016,Man-in-the-Middle,IT,10.8,551669,Nation-state,Weak Passwords,Firewall,43
Russia,2021,DDoS,Telecommunications,15.43,219892,Hacker Group,Social Engineering,Antivirus,38
USA,2018,DDoS,Retail,17.15,334533,Hacker Group,Unpatched Software,Antivirus,22
France,2021,Man-in-the-Middle,Banking,0.56,247457,Nation-state,Social Engineering,VPN,23
Brazil,2016,SQL Injection,IT,96.76,904589,Nation-state,Unpatched Software,VPN,32
India,2016,Phishing,Healthcare,2.27,46307,Hacker Group,Unpatched Software,VPN,6
USA,2020,Ransomware,Banking,49.34,785663,Insider,Social Engineering,Antivirus,60
Germany,2015,Phishing,IT,13.98,391580,Hacker Group,Social Engineering,VPN,46
France,2024,Malware,Government,10.09,429621,Insider,Zero-day,VPN,21
USA,2023,Man-in-the-Middle,Healthcare,2.85,69533,Nation-state,Unpatched Software,Encryption,17
India,2021,Phishing,Government,21.09,479312,Hacker Group,Weak Passwords,Firewall,12
Russia,2015,Phishing,Healthcare,15.78,431774,Insider,Social Engineering,Firewall,15
Brazil,2023,Phishing,Retail,12.3,574692,Hacker Group,Unpatched Software,Encryption,42
Brazil,2020,DDoS,Government,14.0,241035,Hacker Group,Unpatched Software,VPN,14
China,2023,SQL Injection,Education,13.37,320419,Unknown,Weak Passwords,Encryption,16
USA,2023,Ransomware,Retail,1.51,119487,Hacker Group,Zero-day,Encryption,19
Australia,2017,SQL Injection,Healthcare,8.29,279670,Nation-state,Weak Passwords,Encryption,18
France,2021,DDoS,Healthcare,19.94,273327,Insider,Social Engineering,Encryption,42
France,2021,SQL Injection,Telecommunications,74.03,696446,Unknown,Social Engineering,AI-based Detection,68
China,2016,DDoS,Healthcare,6.63,68249,Unknown,Unpatched Software,Encryption,1
China,2023,Ransomware,Healthcare,2.46,140103,Unknown,Social Engineering,Encryption,3
USA,2019,Phishing,Healthcare,3.65,142797,Insider,Weak Passwords,Antivirus,18
Australia,2023,DDoS,IT,15.44,421449,Hacker Group,Unpatched Software,AI-based Detection,35
Australia,2020,Ransomware,Telecommunications,61.73,664653,Hacker Group,Unpatched Software,Encryption,65
USA,2019,Ransomware,Government,33.35,567772,Insider,Unpatched Software,VPN,41
UK,2015,SQL Injection,Government,17.39,220519,Unknown,Social Engineering,Antivirus,19
Japan,2018,Phishing,Healthcare,3.21,251282,Nation-state,Weak Passwords,Firewall,6
Russia,2018,Ransomware,Government,10.62,564426,Hacker Group,Zero-day,Encryption,18
India,2015,Malware,Government,8.17,257483,Nation-state,Unpatched Software,Firewall,5
China,2016,DDoS,Banking,8.74,299129,Insider,Weak Passwords,Encryption,5
China,2019,Ransomware,Education,28.28,350044,Nation-state,Unpatched Software,Antivirus,40
UK,2022,Phishing,Telecommunications,7.11,130112,Insider,Unpatched Software,Encryption,4
Brazil,2023,Ransomware,IT,34.47,894525,Hacker Group,Unpatched Software,Antivirus,53
Germany,2021,Phishing,Government,84.84,586193,Nation-state,Unpatched Software,Antivirus,57
Japan,2016,DDoS,Government,35.12,940663,Hacker Group,Social Engineering,Antivirus,44
USA,2021,Phishing,Government,11.84,534081,Unknown,Social Engineering,Antivirus,48
India,2019,SQL Injection,Education,14.97,483419,Hacker Group,Unpatched Software,Encryption,25
France,2016,SQL Injection,Banking,41.99,947939,Nation-state,Social Engineering,Encryption,61
USA,2015,Malware,Healthcare,5.01,15840,Hacker Group,Social Engineering,Firewall,21
India,2024,Man-in-the-Middle,Government,4.35,215829,Nation-state,Unpatched Software,Firewall,21
Russia,2016,Phishing,Education,12.49,293322,Nation-state,Unpatched Software,Antivirus,43
China,2024,DDoS,Banking,19.2,583900,Nation-state,Unpatched Software,Firewall,16
China,2019,Malware,IT,26.71,223397,Nation-state,Unpatched Software,Antivirus,19
UK,2022,Malware,IT,9.57,222705,Nation-state,Weak Passwords,AI-based Detection,12
France,2023,Phishing,Retail,5.32,173668,Insider,Weak Passwords,Firewall,20
USA,2021,Phishing,Banking,57.33,572446,Nation-state,Weak Passwords,Firewall,71
India,2017,Malware,Banking,11.24,378310,Unknown,Zero-day,VPN,26
UK,2022,Phishing,Banking,12.01,239074,Unknown,Weak Passwords,Firewall,38
Japan,2015,SQL Injection,Government,16.13,440497,Insider,Unpatched Software,Firewall,24
China,2024,Ransomware,Government,20.42,551275,Hacker Group,Social Engineering,Encryption,43
China,2017,SQL Injection,Retail,4.98,149727,Hacker Group,Weak Passwords,AI-based Detection,7
UK,2024,Malware,Banking,9.13,35595,Hacker Group,Weak Passwords,VPN,21
China,2019,Phishing,Telecommunications,71.73,690492,Hacker Group,Social Engineering,Antivirus,32
UK,2020,Malware,Government,18.4,474895,Nation-state,Weak Passwords,Encryption,12
France,2024,Phishing,Education,12.45,314598,Nation-state,Unpatched Software,VPN,37
Germany,2017,Man-in-the-Middle,Education,14.8,352567,Hacker Group,Unpatched Software,AI-based Detection,35
Japan,2020,Malware,Education,16.22,251368,Hacker Group,Weak Passwords,AI-based Detection,34
France,2016,Phishing,Retail,12.31,477023,Hacker Group,Weak Passwords,Encryption,23
India,2017,DDoS,IT,6.57,259199,Unknown,Weak Passwords,Encryption,14
India,2017,Malware,IT,12.15,282342,Hacker Group,Zero-day,Firewall,36
Russia,2017,Ransomware,Government,3.48,216563,Unknown,Social Engineering,Firewall,13
France,2021,Ransomware,Telecommunications,45.16,617650,Nation-state,Social Engineering,VPN,58
Brazil,2021,SQL Injection,IT,14.13,478191,Hacker Group,Social Engineering,Encryption,20
Germany,2023,SQL Injection,IT,10.22,210713,Unknown,Unpatched Software,VPN,28
Germany,2020,Malware,Telecommunications,11.84,424171,Hacker Group,Social Engineering,AI-based Detection,31
Australia,2022,DDoS,IT,68.17,532198,Hacker Group,Unpatched Software,VPN,65
Japan,2017,SQL Injection,Retail,14.26,529673,Hacker Group,Zero-day,VPN,46
Russia,2016,Malware,Banking,15.12,267173,Hacker Group,Zero-day,Encryption,33
Germany,2023,DDoS,IT,16.51,462345,Hacker Group,Social Engineering,Encryption,26
Russia,2023,Man-in-the-Middle,Healthcare,17.95,474651,Hacker Group,Unpatched Software,Antivirus,33
UK,2022,Ransomware,Retail,6.49,289368,Unknown,Weak Passwords,Antivirus,22
China,2017,SQL Injection,Government,3.37,62069,Nation-state,Weak Passwords,Antivirus,19
France,2016,Malware,IT,12.86,284079,Nation-state,Unpatched Software,Firewall,48
China,2020,Phishing,Education,19.14,234073,Hacker Group,Social Engineering,Encryption,13
Australia,2017,Phishing,Retail,9.74,268319,Hacker Group,Unpatched Software,Antivirus,13
China,2016,Phishing,Government,20.26,230688,Hacker Group,Unpatched Software,AI-based Detection,13
Russia,2019,Ransomware,Government,1.54,261305,Unknown,Unpatched Software,VPN,23
Brazil,2017,DDoS,Education,13.37,486218,Insider,Social Engineering,AI-based Detection,23
Japan,2019,Malware,Education,3.6,272414,Hacker Group,Social Engineering,VPN,10
Brazil,2016,Ransomware,Healthcare,24.76,260779,Hacker Group,Social Engineering,Antivirus,44
USA,2017,Phishing,Retail,29.54,255217,Nation-state,Zero-day,AI-based Detection,26
Australia,2024,Man-in-the-Middle,Retail,3.5,129289,Nation-state,Social Engineering,Antivirus,13
USA,2016,SQL Injection,Education,39.34,953715,Nation-state,Zero-day,Firewall,68
China,2024,Malware,Healthcare,16.06,289910,Unknown,Unpatched Software,Firewall,46
Japan,2020,DDoS,IT,5.93,204284,Unknown,Weak Passwords,Firewall,23
Brazil,2020,Ransomware,Healthcare,7.18,218438,Insider,Weak Passwords,VPN,16
USA,2017,SQL Injection,Healthcare,16.97,458083,Hacker Group,Zero-day,VPN,28
India,2016,Phishing,Banking,7.41,189263,Hacker Group,Unpatched Software,Antivirus,10
China,2015,Man-in-the-Middle,Education,13.32,536719,Unknown,Social Engineering,AI-based Detection,45
UK,2017,Phishing,Banking,14.86,498551,Nation-state,Weak Passwords,Firewall,12
France,2016,Malware,Education,13.19,457621,Insider,Unpatched Software,Antivirus,45
Germany,2022,Man-in-the-Middle,Telecommunications,9.93,27786,Hacker Group,Unpatched Software,VPN,5
Russia,2020,Malware,Retail,22.89,411079,Nation-state,Social Engineering,Firewall,25
Germany,2024,Phishing,Education,13.83,311871,Hacker Group,Weak Passwords,Firewall,22
USA,2018,Phishing,Banking,13.57,570715,Insider,Zero-day,Firewall,33
India,2018,Ransomware,IT,1.52,49959,Hacker Group,Social Engineering,Antivirus,24
China,2019,Phishing,Retail,19.71,359383,Nation-state,Social Engineering,VPN,43
Russia,2024,Phishing,Government,5.06,219097,Unknown,Unpatched Software,Encryption,8
China,2023,Ransomware,Retail,15.58,264459,Nation-state,Social Engineering,Firewall,31
UK,2023,Phishing,IT,2.66,101977,Nation-state,Social Engineering,Firewall,2
Germany,2015,Phishing,Banking,11.37,472477,Unknown,Social Engineering,Firewall,30
USA,2015,Malware,IT,10.73,566643,Unknown,Unpatched Software,Encryption,34
UK,2020,DDoS,Government,15.67,401214,Insider,Unpatched Software,Encryption,26
Germany,2015,Malware,Government,24.95,564954,Unknown,Weak Passwords,Antivirus,28
Germany,2017,DDoS,Healthcare,15.34,216866,Nation-state,Social Engineering,VPN,24
Japan,2015,Ransomware,Telecommunications,2.45,135801,Nation-state,Social Engineering,VPN,8
China,2019,Man-in-the-Middle,Telecommunications,71.42,885671,Insider,Social Engineering,Antivirus,25
India,2019,Phishing,Retail,9.3,173269,Nation-state,Unpatched Software,VPN,8
Japan,2018,Phishing,Telecommunications,2.76,295946,Hacker Group,Weak Passwords,Encryption,11
France,2023,Malware,Education,17.86,266399,Nation-state,Unpatched Software,Encryption,32
Brazil,2022,Phishing,Telecommunications,31.29,650200,Hacker Group,Unpatched Software,Antivirus,71
China,2021,DDoS,Telecommunications,9.71,104056,Nation-state,Unpatched Software,Firewall,7
Russia,2020,Malware,Banking,1.64,157342,Nation-state,Social Engineering,Firewall,12
UK,2024,Phishing,Education,71.65,660285,Hacker Group,Unpatched Software,Antivirus,56
India,2021,DDoS,Retail,6.38,98709,Hacker Group,Social Engineering,AI-based Detection,22
UK,2021,Phishing,Telecommunications,1.93,120010,Insider,Social Engineering,Antivirus,20
Japan,2016,Ransomware,Government,32.56,844025,Nation-state,Zero-day,Firewall,58
Germany,2023,Malware,Retail,11.04,559115,Nation-state,Zero-day,Encryption,28
Brazil,2023,Phishing,Telecommunications,14.83,382244,Insider,Unpatched Software,Encryption,46
Germany,2024,Phishing,Retail,10.31,240256,Hacker Group,Weak Passwords,Firewall,43
China,2023,Malware,Retail,3.69,3742,Hacker Group,Unpatched Software,VPN,16
Russia,2023,Malware,Banking,2.23,186652,Insider,Social Engineering,VPN,15
UK,2020,Ransomware,Banking,7.01,182940,Hacker Group,Social Engineering,Firewall,22
UK,2020,DDoS,Telecommunications,19.67,503232,Unknown,Unpatched Software,VPN,42
Russia,2022,DDoS,IT,4.49,99209,Nation-state,Unpatched Software,Firewall,17
China,2023,Phishing,Education,15.64,527149,Hacker Group,Zero-day,Antivirus,47
USA,2023,Ransomware,Banking,13.03,245437,Hacker Group,Weak Passwords,VPN,48
Germany,2016,DDoS,Retail,1.01,209148,Nation-state,Zero-day,AI-based Detection,20
Australia,2020,Ransomware,Government,11.21,319958,Insider,Social Engineering,VPN,17
India,2019,SQL Injection,Healthcare,2.8,240219,Nation-state,Weak Passwords,AI-based Detection,23
Japan,2024,Ransomware,Healthcare,14.08,436320,Hacker Group,Weak Passwords,Encryption,44
UK,2021,SQL Injection,Telecommunications,14.22,587667,Hacker Group,Zero-day,Encryption,37
France,2016,Phishing,Banking,11.53,297171,Unknown,Zero-day,AI-based Detection,15
Russia,2016,Malware,IT,9.66,167708,Insider,Weak Passwords,AI-based Detection,1
UK,2022,SQL Injection,Telecommunications,2.48,174729,Nation-state,Social Engineering,Antivirus,14
Japan,2020,Phishing,Healthcare,21.68,576056,Nation-state,Unpatched Software,VPN,20
Japan,2023,Ransomware,IT,14.24,295186,Hacker Group,Social Engineering,Encryption,20
China,2024,SQL Injection,Healthcare,31.29,752139,Unknown,Unpatched Software,Antivirus,24
USA,2016,Ransomware,Government,11.1,382395,Hacker Group,Unpatched Software,AI-based Detection,41
Germany,2017,Ransomware,Government,15.71,386390,Hacker Group,Weak Passwords,Firewall,28
India,2023,SQL Injection,Government,15.73,264592,Unknown,Unpatched Software,Encryption,46
China,2019,Ransomware,Healthcare,9.02,28908,Insider,Social Engineering,VPN,19
China,2021,Ransomware,IT,15.18,265071,Nation-state,Weak Passwords,Firewall,19
USA,2020,DDoS,Banking,18.07,572460,Nation-state,Social Engineering,Firewall,14
France,2016,Man-in-the-Middle,Banking,12.47,381240,Unknown,Social Engineering,VPN,22
Japan,2024,Phishing,IT,57.54,993427,Unknown,Social Engineering,Antivirus,71
India,2018,SQL Injection,IT,11.03,574075,Hacker Group,Zero-day,Antivirus,45
France,2015,SQL Injection,Healthcare,8.46,255686,Unknown,Weak Passwords,Firewall,6
France,2016,SQL Injection,Retail,2.91,112311,Nation-state,Social Engineering,AI-based Detection,10
India,2023,SQL Injection,Banking,15.33,278690,Insider,Weak Passwords,Encryption,41
USA,2021,Malware,Government,4.98,181313,Insider,Social Engineering,VPN,19
France,2017,SQL Injection,Education,11.33,496671,Nation-state,Social Engineering,Antivirus,33
China,2024,DDoS,IT,16.01,354352,Unknown,Social Engineering,Firewall,30
India,2020,Ransomware,Education,4.79,184818,Hacker Group,Social Engineering,Encryption,8
India,2019,Man-in-the-Middle,IT,5.47,72835,Hacker Group,Social Engineering,Firewall,21
USA,2018,DDoS,Banking,40.97,846953,Hacker Group,Unpatched Software,Encryption,59
UK,2015,Phishing,Education,10.32,446622,Nation-state,Zero-day,Encryption,15
France,2023,DDoS,IT,32.36,741126,Nation-state,Unpatched Software,Antivirus,64
USA,2020,Phishing,Education,7.86,196193,Nation-state,Social Engineering,Firewall,11
India,2018,Malware,Banking,10.23,298526,Nation-state,Unpatched Software,VPN,24
USA,2024,Malware,Retail,13.25,365007,Hacker Group,Weak Passwords,Encryption,44
USA,2019,Phishing,Retail,18.25,390319,Unknown,Unpatched Software,VPN,48
Russia,2018,Man-in-the-Middle,IT,18.46,228135,Nation-state,Weak Passwords,Firewall,31
Australia,2022,DDoS,Government,38.47,947714,Unknown,Social Engineering,VPN,47
France,2016,SQL Injection,IT,13.81,474562,Unknown,Unpatched Software,Antivirus,16
France,2022,SQL Injection,Education,17.34,537420,Hacker Group,Social Engineering,VPN,25
France,2017,Malware,Retail,16.11,432283,Hacker Group,Zero-day,Firewall,35
Germany,2016,Ransomware,Healthcare,19.85,509957,Nation-state,Social Engineering,AI-based Detection,37
Russia,2017,Ransomware,IT,2.53,75332,Unknown,Social Engineering,AI-based Detection,20
China,2015,Ransomware,Banking,13.4,555826,Unknown,Zero-day,Firewall,45
India,2017,Malware,Government,9.71,54395,Insider,Unpatched Software,Antivirus,12
China,2017,DDoS,Government,7.74,235046,Hacker Group,Unpatched Software,AI-based Detection,1
Russia,2021,Ransomware,Healthcare,71.58,936791,Hacker Group,Social Engineering,VPN,55
China,2015,Ransomware,IT,4.2,192333,Unknown,Zero-day,VPN,1
India,2024,SQL Injection,Healthcare,19.85,397666,Hacker Group,Weak Passwords,Firewall,26
China,2021,DDoS,Banking,17.33,502899,Unknown,Weak Passwords,Encryption,45
China,2015,SQL Injection,IT,12.2,204945,Nation-state,Social Engineering,Antivirus,30
China,2015,DDoS,IT,4.08,115637,Hacker Group,Unpatched Software,Antivirus,11
USA,2024,SQL Injection,Government,42.31,963524,Unknown,Social Engineering,AI-based Detection,58
UK,2019,Phishing,Healthcare,46.78,850812,Hacker Group,Weak Passwords,Encryption,67
